sku,name,code,price,qty,bin,lot_no,date
INV-1001,Hex Bolt M6x20,4006381333931,0.45,250,A1-03,LOT-2431,2026-07-25
INV-1002,Hex Bolt M6x30,4006381333948,0.55,180,A1-04,LOT-2431,2026-07-25
INV-1003,Washer M6 Zinc,4006381333955,0.08,1200,A1-05,LOT-2431,2026-07-25
INV-1010,Bearing 608ZZ,4006381333962,1.85,96,B2-01,LOT-2432,2026-07-25
INV-1011,Bearing 6201,4006381333979,2.4,64,B2-02,LOT-2432,2026-07-25
INV-1020,"O-Ring, Viton 12mm",4006381333986,0.32,500,B3-07,LOT-2433,2026-07-25
INV-1021,"O-Ring, Viton 16mm",4006381333993,0.38,420,B3-08,LOT-2433,2026-07-25
INV-2001,Stepper NEMA17,4006381334006,14.9,22,C1-01,LOT-2434,2026-07-25
INV-2002,Driver TMC2209,4006381334013,6.75,48,C1-02,LOT-2434,2026-07-25
INV-2003,Timing Belt GT2 2m,4006381334020,3.2,75,C1-06,LOT-2434,2026-07-25
INV-3001,PSU 24V 350W,4006381334037,32.5,12,D4-01,LOT-2435,2026-07-25
INV-3002,Fan 4010 24V,4006381334044,2.1,140,D4-02,LOT-2435,2026-07-25
INV-3003,Thermistor NTC 100K With Extended Lead Wire,4006381334051,1.15,88,D4-03,LOT-2435,2026-07-25
INV-4001,Nozzle 0.4mm Hardened,4006381334068,8.4,36,E1-01,LOT-2436,2026-07-25
INV-4002,PTFE Tube 1m,4006381334075,1.95,60,E1-02,LOT-2436,2026-07-25
