sku,name,code,price,size,lot_no
WID-001,Cedar Widget,4006381333931,4.99,Small,LOT-2418
WID-002,Walnut Widget,4006381333948,5.49,Medium,LOT-2418
WID-003,Maple Widget,4006381333955,5.99,Large,LOT-2418
GAD-101,Brass Gadget,4006381333962,12.50,Small,LOT-2419
GAD-102,Copper Gadget,4006381333979,13.25,Medium,LOT-2419
GAD-103,"Gadget, Deluxe",4006381333986,19.99,Large,LOT-2419
SPR-201,Spring Assembly,4006381333993,2.35,—,LOT-2420
SPR-202,"Spring, Heavy Duty",4006381334006,3.10,—,LOT-2420
BRK-301,Bracket Left,4006381334013,7.75,Standard,LOT-2421
BRK-302,Bracket Right,4006381334020,7.75,Standard,LOT-2421
KIT-401,Starter Kit,4006381334037,24.99,Boxed,LOT-2422
KIT-402,Pro Kit With A Very Long Product Name,4006381334044,49.99,Boxed,LOT-2422
